"TDK Corporation"
"Creation Date : September 05, 2026 (GMT)"

"DC Bias Characteristic"

"C3216X7R1V106K160AC"
"DC/V","Capacitance(Nom.)/F"
"0.00000E+0","1.00000E-5"
"1.00000E+0","1.00620E-5"
"2.00000E+0","9.98866E-6"
"3.15000E+0","9.69875E-6"
"4.00000E+0","9.38950E-6"
"5.00000E+0","8.96404E-6"
"6.30000E+0","8.34687E-6"
"8.00000E+0","7.49431E-6"
"1.00000E+1","6.50923E-6"
"1.25000E+1","5.40391E-6"
"1.60000E+1","4.18055E-6"
"2.50000E+1","2.43768E-6"
"3.50000E+1","1.61011E-6"
