Altium Designer Pick and Place Locations
C:\ADTmp\Snapshot\2\Assembly internal\d019762_35_s21_v0301_ek-ra8d2_mp_pnp_internal_mp.txt

========================================================================================================================
File Design Information:

Date:       11.06.25
Time:       12:33
Revision:   Not in VersionControl
Variant:    internal
Units used: mm

Designator Layer       Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Rotation 
C42        TopLayer    55.3000      173.5000     55.3000   173.5000  270      
C40        TopLayer    41.6500      171.3500     41.6500   171.3500  180      
C26        TopLayer    21.4926      117.3500     21.4926   117.3500  270      
C30        TopLayer    23.8000      121.9000     23.8000   121.9000  90       
C46        BottomLayer 40.2250      39.0750      40.2250   39.0750   270      
C38        BottomLayer 26.3250      70.2000      26.3250   70.2000   0        
C58        BottomLayer 41.1000      32.6250      41.1000   32.6250   0        
C52        BottomLayer 39.0250      33.7250      39.0250   33.7250   180      
C54        BottomLayer 39.0500      32.6250      39.0500   32.6250   180      
C70        TopLayer    73.0874      162.3941     73.0874   162.3941  180      
E14        BottomLayer 77.3000      173.4000     77.3000   173.4000  270      
C68        TopLayer    13.3000      156.2000     13.3000   156.2000  90       
FL2        TopLayer    16.8000      125.3000     16.8000   125.3000  0        
C53        BottomLayer 42.4500      34.6500      42.4500   34.6500   270      
C49        TopLayer    28.4000      38.7000      28.4000   38.7000   270      
C61        TopLayer    40.7500      135.5426     40.7500   135.5426  180      
C60        TopLayer    40.7500      134.5426     40.7500   134.5426  0        
C66        TopLayer    43.1000      134.5301     43.1000   134.5301  180      
C19        BottomLayer 34.9000      23.1250      34.9000   23.1250   0        
C21        TopLayer    45.2560      22.4568      45.2560   22.4568   180      
C24        TopLayer    41.9174      22.4796      41.9174   22.4796   0        
C23        TopLayer    39.1000      21.9000      39.1000   21.9000   180      
C22        TopLayer    37.0000      21.9000      37.0000   21.9000   0        
C69        TopLayer    11.0000      180.3000     11.0000   180.3000  0        
C59        BottomLayer 44.4500      36.5750      44.4500   36.5750   0        
C50        BottomLayer 41.7000      36.9000      41.7000   36.9000   90       
D3         TopLayer    72.6000      126.8000     72.6000   126.8000  0        
E10        BottomLayer 77.3000      177.8000     77.3000   177.8000  270      
J1         TopLayer    74.3900      51.0400      74.3900   51.0400   270      
J26        TopLayer    11.6075      171.3000     9.4000    171.3000  90       
J24        TopLayer    66.1300      173.8340     66.1300   173.8340  270      
J20        TopLayer    78.0000      149.7000     78.0000   149.7000  90       
LED4       TopLayer    36.6000      125.2000     36.6000   125.2000  180      
LED3       TopLayer    10.9000      135.3000     10.9000   135.3000  270      
R24        TopLayer    37.7500      129.4000     37.7500   129.4000  0        
R39        TopLayer    13.3000      142.5000     13.3000   142.5000  90       
R33        TopLayer    12.2000      134.6000     12.2000   134.6000  90       
R40        TopLayer    13.3000      149.9787     13.3000   149.9787  90       
R31        TopLayer    16.5000      135.3000     16.5000   135.3000  270      
R38        TopLayer    14.4460      156.2000     14.4460   156.2000  270      
R37        TopLayer    29.9000      136.7000     29.9000   136.7000  180      
R117       TopLayer    60.8000      128.2000     60.8000   128.2000  270      
RA8        TopLayer    46.1750      67.7500      46.1750   67.7500   180      
TP7        TopLayer    11.0000      183.0000     11.0000   183.0000  0        
TP9        TopLayer    11.0000      187.0000     11.0000   187.0000  0        
U7         TopLayer    58.8000      121.0000     58.8000   121.0000  90       
C56        TopLayer    59.8000      128.2000     59.8000   128.2000  270      
C57        TopLayer    53.0000      120.9000     53.0000   120.9000  90       
C51        TopLayer    61.9000      114.8000     61.9000   114.8000  90       
C48        BottomLayer 32.5000      42.6000      32.5000   42.6000   90       
R44        TopLayer    69.1000      124.6000     69.1000   124.6000  0        
R21        TopLayer    14.7000      124.9000     14.7000   124.9000  180      
R22        TopLayer    14.7000      125.8000     14.7000   125.8000  180      
