chapter,section,symbol,offset,offset_expr,page,page_end,name
30,3.1.5.23,FWLTHTSR2,0x4128,0x4128,1374,1375,L3 Table Search Result Register 2
30,3.1.5.24,FWLTHTSR3,0x412C,0x412C,1375,1375,L3 Table Search Result Register 3
30,3.1.5.25,FWLTHTSR40,0x4130,0x4130 + 0x4 * i,1375,1376,L3 Table Search Result Register 40
30,3.1.5.26,FWLTHTSR5,0x4140,0x4140,1376,1376,L3 Table Search Result Register 5
30,3.1.5.27,FWLTHTR,0x4150,0x4150,1376,1377,L3 Table Read Register
30,3.1.5.28,FWLTHTRR0,0x4154,0x4154,1377,1377,L3 Table Read Result Register 0
30,3.1.5.29,FWLTHTRR1,0x4158,0x4158,1377,1378,L3 Table Read Result Register 1
30,3.1.5.30,FWLTHTRR2,0x415C,0x415C,1378,1378,L3 Table Read Result Register 2
30,3.1.5.31,FWLTHTRR3,0x4160,0x4160,1378,1378,L3 Table Read Result Register 3
30,3.1.5.32,FWLTHTRR4,0x4164,0x4164,1378,1378,L3 Table Read Result Register 4
30,3.1.5.33,FWLTHTRR5,0x4168,0x4168,1378,1379,L3 Table Read Result Register 5
30,3.1.5.34,FWLTHTRR6,0x416C,0x416C,1379,1379,L3 Table Read Result Register 6
30,3.1.5.35,FWLTHTRR7,0x4170,0x4170,1379,1380,L3 Table Read Result Register 7
30,3.1.5.36,FWLTHTRR8,0x4174,0x4174,1380,1380,L3 Table Read Result Register 8
30,3.1.5.37,FWLTHTRR90,0x4180,0x4180,1380,1381,L3 Table Read Result Register 90
30,3.1.5.38,FWLTHTRR10,0x4190,0x4190,1381,1381,L3 Table Read Result Register 10
30,3.1.6.1,FWMACHEC,0x4620,0x4620,1381,1382,MAC Hash Entry Configuration Register
30,3.1.6.2,FWMACHC,0x4624,0x4624,1382,1382,MAC Hash Configuration Register
30,3.1.6.3,FWMACTL0,0x4630,0x4630,1382,1383,MAC Table Learn Register 0
30,3.1.6.4,FWMACTL1,0x4634,0x4634,1383,1383,MAC Table Learn Register 1
30,3.1.6.5,FWMACTL2,0x4638,0x4638,1383,1383,MAC Table Learn Register 2
