"Number","Name","Electrical Type","Graphic Style","Orientation","Number Text Size","Name Text Size","Length","X Position","Y Position","Visible","Unit","Body Style"
"1","VIN","Power input","Line","Right","50","50","150","0","600","True","ALL","ALL"
"2","~{PB}","Input","Line","Right","50","50","150","-500","300","True","ALL","ALL"
"3","ONT","Passive","Line","Right","50","50","150","-500","100","True","ALL","ALL"
"4","GND","Power input","Line","Right","50","50","150","0","-600","True","ALL","ALL"
"5","~{INT}","Open collector","Line","Right","50","50","150","500","100","True","ALL","ALL"
"6","EN","Open collector","Line","Right","50","50","150","500","300","True","ALL","ALL"
"7","PDT","Passive","Line","Right","50","50","150","-500","-100","True","ALL","ALL"
"8","~{KILL}","Input","Line","Right","50","50","150","500","-200","True","ALL","ALL"
"","","Input","Line","Right","50","50","100","500","-300","True","ALL","ALL"
