source_file,line,function_name,missing_tags,severity
libs/ra_board_ek_ra8d2/src/ra_board_ek_ra8d2.c,205,ra_board_sw_attach_irq,@brief;@details;@param[sw];@param[cb];@param[ctx];@return;@retval;@pre;@post;@note;@since,high
libs/ra_board_ek_ra8d2/src/ra_board_ek_ra8d2.c,405,ra_board_glcdc_init,@brief;@details;@param[fmt];@return;@retval;@pre;@post;@note;@since,high
libs/ra_board_ek_ra8d2/src/ra_board_ek_ra8d2.c,499,ra_board_xspi_pins_init,@brief;@details;@return;@retval;@pre;@post;@note;@since,high
libs/ra_board_ek_ra8d2/src/ra_board_ek_ra8d2.c,582,internal_audio_bits_to_word,@details;@param[bit_depth];@param[out_dwl];@param[out_swl];@return;@retval;@pre(<2:0);@post(<2:0);@note;@since,high
libs/ra_board_ek_ra8d2/src/ra_board_ek_ra8d2.c,623,internal_audio_route_pins,@details;@return;@retval;@pre(<2:0);@post(<2:0);@note;@since,medium
libs/ra_board_ek_ra8d2/src/ra_board_ek_ra8d2.c,659,internal_audio_build_ssie_cfg,@param[channels];@param[dwl];@param[swl];@return;@retval;@pre(<2:0);@post(<2:0);@note;@since,high
libs/ra_board_ek_ra8d2/src/ra_board_ek_ra8d2.c,683,ra_board_audio_init,@brief;@details;@param[sample_rate_hz];@param[bit_depth];@param[channels];@return;@retval;@pre;@post;@note;@since,high
libs/ra_board_ek_ra8d2/src/ra_board_ek_ra8d2.c,717,ra_board_audio_play_sample_block,@brief;@details;@param[buf];@param[len];@return;@retval;@pre;@post;@note;@since,high
libs/ra_board_ek_ra8d2/src/ra_board_ek_ra8d2.c,756,ra_board_arduino_pin_init,@brief;@details;@param[pin];@param[mode];@return;@retval;@pre;@post;@note;@since,high
libs/ra_board_ek_ra8d2/src/ra_board_ek_ra8d2.c,770,ra_board_arduino_gpio_write,@brief;@details;@param[pin];@param[level];@return;@retval;@pre;@post;@note;@since,high
libs/ra_board_ek_ra8d2/src/ra_board_ek_ra8d2.c,775,ra_board_arduino_gpio_read,@brief;@details;@param[pin];@param[out_level];@return;@retval;@pre;@post;@note;@since,high
